"run","id","auc","pauc","k_pca"
15,"00",0.534076500422654,0.00650623415046492,470
15,"02",0.70907943067034,0.0153122130394858,510
15,"04",0.523896481867207,0.0129540331554769,483
15,"06",0.814840379637619,0.0332614322691976,488
16,"00",0.509116409537167,0.00311152667393901,472
16,"02",0.681629758917858,0.0188147703719865,501
16,"04",0.568860692572033,0.0163626751255617,492
16,"06",0.901845522898154,0.0497402597402597,483
17,"00",0.540874742386077,0.00332035722463933,477
17,"02",0.736980238781392,0.0220872787155208,509
17,"04",0.541055251656971,0.00921825706925993,493
17,"06",0.874092409240924,0.0510588558855885,478
18,"00",0.524820025408178,0.0036465440173152,468
18,"02",0.711050920910076,0.0233802816901408,506
18,"04",0.522921063739975,0.00763472632615731,488
18,"06",0.887567987567988,0.031002331002331,490
19,"00",0.557064819782471,0.00122664975857192,469
19,"02",0.680236738757675,0.0236462193705404,503
19,"04",0.457416756821733,0.000288496213487198,483
19,"06",0.810734281485295,0.0192419074586524,483
20,"00",0.546144859813084,0.00344626168224299,467
20,"02",0.671254476455182,0.0181730717836335,502
20,"04",0.596001817355747,0.0116704528244737,482
20,"06",0.842683496961197,0.0365123889668069,482
21,"00",0.511598362584106,0.00739189761445443,467
21,"02",0.723879051465258,0.017052397224811,506
21,"04",0.595577767681357,0.0188399212479176,483
21,"06",0.851388465059506,0.0487107110161733,482
22,"00",0.532043686569471,0.00902065838957292,477
22,"02",0.716629735148254,0.0135011079455524,504
22,"04",0.559831181727905,0.00997462208981573,488
22,"06",0.82256046705588,0.0362541701417848,481
23,"00",0.5666429755982,0.00599384032219853,465
23,"02",0.720513617065341,0.0244744744744745,507
23,"04",0.54670032455824,0.0113475177304964,480
23,"06",0.824581450969971,0.0265160775976614,487
24,"00",0.542821222026653,0.00495599698265023,475
24,"02",0.740205248810733,0.0214976749158159,501
24,"04",0.569862791264107,0.0128088549700955,491
24,"06",0.835541909071321,0.0243374272786037,481
25,"00",0.545696721311475,0.00600117096018735,474
25,"02",0.629524919848441,0.0129291751675896,500
25,"04",0.565623965574313,0.00819816837691713,484
25,"06",0.882308845577211,0.0549725137431284,478
26,"00",0.514586754241927,0.00518609742747673,466
26,"02",0.661784699048325,0.0128599678655296,507
26,"04",0.588520369529002,0.0191519006512191,489
26,"06",0.838871085624332,0.025243155113285,490
27,"00",0.496659404502542,0.00355361897845558,470
27,"02",0.765829274544989,0.0265957446808511,503
27,"04",0.464469956761592,0.000700760399582525,477
27,"06",0.881177264294147,0.0494630910215326,480
28,"00",0.555245975458741,0.0040977147360126,474
28,"02",0.713778069756331,0.0173823459149546,505
28,"04",0.455516385951169,0.0039430735082909,481
28,"06",0.883318953120506,0.038006902502157,479
29,"00",0.514015542877678,0.00856879744845244,472
29,"02",0.694474539544962,0.010557963163597,505
29,"04",0.553703703703704,0.00837690631808278,487
29,"06",0.816987693953986,0.0289593365436062,486
30,"00",0.510360687484871,0.00536916000968288,466
30,"02",0.673435260391782,0.00739966555183946,507
30,"04",0.582346801848815,0.0122558520948263,485
30,"06",0.822562643004632,0.0383057090239411,478
31,"00",0.591499281077077,0.00386039823972811,479
31,"02",0.678646693626474,0.0104118015606311,505
31,"04",0.543819090136054,0.00871598639455782,489
31,"06",0.862353998203055,0.0439952081461515,476
32,"00",0.519238630556975,0.0090444557996934,469
32,"02",0.732673267326733,0.0122822058742187,503
32,"04",0.515258620689655,0.00738505747126436,482
32,"06",0.929190907132084,0.0591413488472312,479
33,"00",0.50945521215296,0.005882661079099,472
33,"02",0.739523260284506,0.0162849453506893,507
33,"04",0.626062010371842,0.0262054507337526,493
33,"06",0.853628808864266,0.0378947368421053,480
34,"00",0.49229945091737,0.00662916834069907,463
34,"02",0.72894622013745,0.0208110614159485,507
34,"04",0.542479245813986,0.00855213170113972,480
34,"06",0.871617161716172,0.0469499449944994,482
35,"00",0.523577826192205,0.00876301137739046,469
35,"02",0.659754582168375,0.0153386144765455,506
35,"04",0.538736626998437,0.0117442000240413,489
35,"06",0.868463641944305,0.0426697918410626,481
36,"00",0.531733508656586,0.0111965811965812,467
36,"02",0.734696641386782,0.0149458288190682,508
36,"04",0.543702623906706,0.010798833819242,488
36,"06",0.872712680577849,0.046629213483146,481
37,"00",0.48594674556213,0.00173024091293322,472
37,"02",0.730341008452346,0.0227572136403381,511
37,"04",0.52950159655699,0.00755240871858947,492
37,"06",0.880193905817174,0.0404986149584487,482
38,"00",0.506521739130435,0.00165261756876664,465
38,"02",0.685180686304282,0.0149711509262071,503
38,"04",0.574006164965986,0.0131324404761905,490
38,"06",0.887162790697674,0.0409488372093023,481
39,"00",0.546065406234032,0.00846959632089933,465
39,"02",0.631103421760861,0.00989179985719778,509
39,"04",0.547327502429543,0.0178536720810773,483
39,"06",0.835096952908587,0.0241551246537396,487
40,"00",0.486991911802586,0.000659419916542167,469
40,"02",0.73306916426513,0.0190304652120214,507
40,"04",0.56389851875197,0.0181426620443324,480
40,"06",0.827008043502889,0.0316387221026396,473
41,"00",0.531458324256024,0.00692780271012156,461
41,"02",0.746181183365547,0.00700791819938898,512
41,"04",0.541699372056515,0.00563186813186813,489
41,"06",0.892034829359514,0.0459648200093501,485
42,"00",0.543311532489531,0.00315249611819508,464
42,"02",0.71148429035753,0.0110509209100758,505
42,"04",0.534605834885164,0.0058348851644941,490
42,"06",0.877663734115347,0.0372678396871945,487
43,"00",0.509560780834073,0.00537932564330079,467
43,"02",0.714560376492195,0.0128213957759412,496
43,"04",0.573338779956427,0.0150544662309368,483
43,"06",0.877558119311264,0.0382746825902951,485
44,"00",0.578708264915161,0.00519157088122605,477
44,"02",0.66569469366829,0.0135061522686491,500
44,"04",0.496256684491979,0.00520175012153622,485
44,"06",0.885205647636587,0.0455298844801607,480
45,"00",0.52691384745683,0.00721309932715381,475
45,"02",0.732692307692308,0.0200758396533044,507
